Posição,Município,População,Area,Density
129,Nova Olinda,15565,284.401,54.7290621340994
130,Meruoca,15057,149.845,100.483833294404
131,Barroquinha,15017,384.9,39.015328656794
132,Porteiras,14996,217.58,68.9217758985201
133,Acarape,14929,155.169,96.2112277581218
134,Apuiarés,14600,545.15,26.7816197376869
135,Mucambo,14537,190.602,76.2688744084532
136,Graça,14399,281.872,51.0834705114378
137,Iracema,14297,821.247,17.4088916002128
138,Frecheirinha,14072,181.24,77.6429044361068
139,Uruoca,13840,696.754,19.8635386377401
140,Miraíma,13818,699.964,19.741015252213
141,Choró,13521,815.77,16.5745246822021
142,Ibaretama,13353,877.256,15.2213264999042
143,Palmácia,13322,117.813,113.077504180354
144,Milhã,13155,502.344,26.1872342458554
145,Chaval,13069,237.418,55.0463739059381
146,São Luís do Curu,13000,122.42,106.191798725698
147,Ibicuitinga,12525,424.915,29.4764835320005
148,Ipaumirim,12463,275.159,45.2938119414593
149,Poranga,12336,702.126,17.5694960733544
150,Pacoti,12261,112.021,109.452691905982
151,Paramoti,12226,482.592,25.3340295736357
152,Aratuba,11847,114.785,103.210349784379
153,Abaiara,11737,180.08,65.1765881830298
154,Alcântaras,11714,138.605,84.513545687385
155,Ipaporanga,11593,702.126,16.5112814509077
156,Jaguaribara,11401,668.738,17.048530216617
157,Martinópole,11233,298.962,37.5733370796288
158,Groaíras,11068,155.947,70.9728305129307
159,Potengi,11045,338.727,32.6073799844713
160,Pires Ferreira,10951,243.099,45.0474909399051
161,Ararendá,10935,344.131,31.7756900715135
162,Mulungu,10823,134.568,80.4277391356043
163,Catunda,10342,790.705,13.0794670578787
164,Deputado Irapuan Pinheiro,9625,470.425,20.4602221395547
165,Palhano,9386,440.381,21.3133627472575
166,Penaforte,9077,149.715,60.6285275356511
167,Tarrafas,8592,454.391,18.9088252188094
168,Moraújo,8724,415.633,20.9896711762541
169,Jati,8111,353.298,22.9579561729758
170,Arneiroz,7840,1066.362,7.35209994354638
171,Itaiçaba,7827,212.109,36.9008387197149
172,Umari,7733,263.93,29.299435456371
173,São João do Jaguaribe,7645,280.456,27.2591779102604
174,General Sampaio,7618,205.81,37.0147223166999
175,Senador Sá,7623,423.919,17.9822088653729
176,Altaneira,7586,73.295,103.499556586397
177,Antonina do Norte,7353,260.104,28.2694614461908
178,Ererê,7198,382.707,18.8081221404364
179,Pacujá,6533,76.128,85.8159941151745
180,Potiretama,6419,410.338,15.64320145831
181,Baixio,6228,146.433,42.5313966114196
182,Guaramiranga,5193,59.436,87.3712901271956
183,Granjeiro,4844,100.127,48.3785592297782
