Position,City,Population,Area,Density
151,Fernando Pedroza,"3039,00",322.62,9.41975079040357
152,Francisco Dantas,"2836,00",181.55,15.6210410355274
153,Severiano Melo,"2799,00",157.85,17.7320240734875
154,São Bento do Norte,"2778,00",288.76,9.62044604515861
155,Lagoa de Velhos,"2731,00",111.60,24.4713261648746
156,Galinhos,"2726,00",340.76,7.99976523066088
157,Santana do Seridó,"2670,00",188.40,14.171974522293
158,João Dias,"2655,00",88.17,30.1122830894862
159,Jardim de Angicos,"2617,00",254.02,10.3023383985513
160,Taboleiro Grande,"2545,00",124.09,20.5093077604964
161,Pedra Preta,"2478,00",294.98,8.40056953013764
162,Timbaúba dos Batistas,"2407,00",135.45,17.7703949796973
163,Bodó,"2250,00",253.51,8.87538953098497
164,Ipueira,"2228,00",127.34,17.4964661536045
165,Monte das Gameleiras,"2127,00",71.94,29.5663052543787
166,Viçosa,"1712,00",37.90,45.1715039577836
