Position,City,Population,City,Density
121,União do Sul,3562,4581.91,0.777405055970109
122,Figueirópolis d'Oeste,3537,888.106,3.98263270375383
123,Salto do Céu,3437,1754.501,1.95896155089111
124,Santa Rita do Trivelato,3330,4734.93,0.703283892264511
125,Nova Marilândia,3249,1936.42,1.67783848545254
126,Santo Afonso,3136,1174.212,2.67072726219797
127,Vale de São Domingos,3128,1887.669,1.65707017490884
128,Araguaiana,3119,6422.966,0.485601200442288
129,Porto Estrela,3050,2057.327,1.48250618399506
130,Glória d'Oeste,3045,833.612,3.65277851086597
131,Indiavaí,2725,592.639,4.59807741306259
132,Reserva do Cabaçal,2721,1342.076,2.02745597119686
133,Planalto da Serra,2676,2442.452,1.09562030287596
134,Novo Santo Antônio,2574,4393.796,0.5858260146807
135,Santa Cruz do Xingu,2495,5651.747,0.441456420466097
136,Ribeirãozinho,2388,625.806,3.81587904238694
137,Luciara,2099,4243.028,0.494693883707579
138,Serra Nova Dourada,1622,1500.391,1.08105153923211
139,Ponte Branca,1602,686.687,2.33294062651543
140,Araguainha,956,688.326,1.38887678222238
